Date;Time;Sales
31.12.2020;8:31:42;0
31.12.2020;8:33:42;1
31.12.2020;8:35:42;0
31.12.2020;8:37:42;2
31.12.2020;8:39:42;0
31.12.2020;8:41:42;1
31.12.2020;8:43:42;1
31.12.2020;8:45:42;0
31.12.2020;8:47:42;1
31.12.2020;8:49:43;0
31.12.2020;8:51:43;3
31.12.2020;8:53:43;0
31.12.2020;8:55:43;0
31.12.2020;8:57:43;1
31.12.2020;8:59:43;2
31.12.2020;9:01:43;2
31.12.2020;9:03:43;1
31.12.2020;9:05:43;1
31.12.2020;9:07:43;2
31.12.2020;9:09:43;2
31.12.2020;9:11:43;2
31.12.2020;9:13:43;5
31.12.2020;9:15:43;2
31.12.2020;9:17:43;1
31.12.2020;9:19:43;3
31.12.2020;9:21:43;3
31.12.2020;9:23:43;2
31.12.2020;9:25:43;1
31.12.2020;9:27:43;1
31.12.2020;9:29:43;2
31.12.2020;9:31:43;1
31.12.2020;9:33:43;2
31.12.2020;9:35:43;1
31.12.2020;9:37:43;4
31.12.2020;9:39:43;1
31.12.2020;9:41:43;1
31.12.2020;9:43:43;5
31.12.2020;9:45:43;2
31.12.2020;9:47:43;1
31.12.2020;9:49:43;1
31.12.2020;9:51:43;4
31.12.2020;9:53:43;3
31.12.2020;9:55:43;3
31.12.2020;9:57:43;1
31.12.2020;9:59:43;1
31.12.2020;10:01:44;5
31.12.2020;10:03:44;4
31.12.2020;10:05:44;3
31.12.2020;10:07:44;6
31.12.2020;10:09:44;2
31.12.2020;10:11:44;3
31.12.2020;10:13:44;1
31.12.2020;10:15:44;1
31.12.2020;10:17:44;2
31.12.2020;10:19:44;5
31.12.2020;10:21:44;4
31.12.2020;10:23:44;5
31.12.2020;10:25:44;1
31.12.2020;10:25:44;2
31.12.2020;10:27:44;5
31.12.2020;10:27:44;3
31.12.2020;10:29:44;3
31.12.2020;10:29:44;2
31.12.2020;10:31:44;2
31.12.2020;10:33:44;0
31.12.2020;10:35:44;5
31.12.2020;10:37:44;1
31.12.2020;10:39:44;0
31.12.2020;10:39:44;3
31.12.2020;10:41:44;2
31.12.2020;10:41:44;2
31.12.2020;10:43:44;3
31.12.2020;10:45:44;4
31.12.2020;10:47:44;5
31.12.2020;10:49:44;1
31.12.2020;10:51:44;4
31.12.2020;10:53:44;4
31.12.2020;10:55:44;5
31.12.2020;10:57:44;3
31.12.2020;10:59:44;6
31.12.2020;11:01:44;3
31.12.2020;11:03:44;3
31.12.2020;11:05:44;2
31.12.2020;11:07:44;4
31.12.2020;11:09:45;4
31.12.2020;11:11:45;3
31.12.2020;11:13:45;4
31.12.2020;11:15:45;7
31.12.2020;11:17:45;4
31.12.2020;11:19:46;4
31.12.2020;11:21:46;9
31.12.2020;11:23:46;4
31.12.2020;11:25:46;6
31.12.2020;11:27:46;2
31.12.2020;11:29:46;7
31.12.2020;11:31:46;5
31.12.2020;11:33:46;10
31.12.2020;11:35:46;8
31.12.2020;11:37:46;9
31.12.2020;11:39:46;1
31.12.2020;11:41:46;8
31.12.2020;11:43:46;3
31.12.2020;11:45:46;3
31.12.2020;11:47:46;5
31.12.2020;11:49:46;3
31.12.2020;11:51:46;6
31.12.2020;11:53:46;8
31.12.2020;11:55:47;4
31.12.2020;11:57:47;5
31.12.2020;11:59:47;6
31.12.2020;12:01:47;3
31.12.2020;12:03:47;8
31.12.2020;12:05:47;8
31.12.2020;12:07:47;6
31.12.2020;12:09:47;4
31.12.2020;12:11:47;5
31.12.2020;12:13:47;5
31.12.2020;12:15:47;7
31.12.2020;12:17:47;4
31.12.2020;12:19:47;7
31.12.2020;12:21:47;10
31.12.2020;12:23:47;8
31.12.2020;12:25:47;9
31.12.2020;12:27:47;5
31.12.2020;12:29:47;5
31.12.2020;12:31:47;7
31.12.2020;12:33:47;7
31.12.2020;12:35:47;7
31.12.2020;12:37:47;5
31.12.2020;12:39:47;11
31.12.2020;12:41:47;10
31.12.2020;12:43:47;4
31.12.2020;12:45:47;3
31.12.2020;12:47:47;8
31.12.2020;12:49:47;4
31.12.2020;12:51:47;7
31.12.2020;12:53:48;7
31.12.2020;12:55:48;8
31.12.2020;12:57:48;7
31.12.2020;12:59:48;5
31.12.2020;13:01:48;5
31.12.2020;13:03:48;5
31.12.2020;13:05:48;5
31.12.2020;13:07:48;5
31.12.2020;13:09:48;5
31.12.2020;13:11:48;3
31.12.2020;13:13:48;7
31.12.2020;13:15:48;6
31.12.2020;13:17:48;7
31.12.2020;13:19:48;8
31.12.2020;13:21:48;3
31.12.2020;13:23:48;5
31.12.2020;13:25:48;6
31.12.2020;13:27:48;7
31.12.2020;13:29:48;3
31.12.2020;13:31:48;4
31.12.2020;13:33:48;6
31.12.2020;13:35:48;5
31.12.2020;13:37:48;8
31.12.2020;13:39:48;6
31.12.2020;13:41:48;5
31.12.2020;13:43:48;4
31.12.2020;13:45:48;7
31.12.2020;13:47:48;8
31.12.2020;13:49:48;7
31.12.2020;13:51:48;10
31.12.2020;13:53:48;8
31.12.2020;13:55:48;8
31.12.2020;13:57:48;4
31.12.2020;13:59:48;7
31.12.2020;14:01:48;8
31.12.2020;14:03:48;8
31.12.2020;14:05:48;6
31.12.2020;14:07:48;7
31.12.2020;14:09:48;12
31.12.2020;14:11:48;4
31.12.2020;14:13:48;5
31.12.2020;14:15:48;7
31.12.2020;14:17:48;7
31.12.2020;14:19:49;6
31.12.2020;14:21:49;7
31.12.2020;14:23:49;4
31.12.2020;14:25:49;12
31.12.2020;14:27:49;6
31.12.2020;14:29:49;11
31.12.2020;14:31:49;9
31.12.2020;14:33:49;4
31.12.2020;14:35:49;9
31.12.2020;14:37:49;12
31.12.2020;14:39:49;7
31.12.2020;14:41:49;5
31.12.2020;14:43:49;7
31.12.2020;14:45:49;12
31.12.2020;14:47:49;6
31.12.2020;14:49:49;14
31.12.2020;14:51:49;6
31.12.2020;14:53:49;10
31.12.2020;14:55:49;7
31.12.2020;14:57:49;8
31.12.2020;14:59:49;10
31.12.2020;15:01:52;5
31.12.2020;15:03:52;8
31.12.2020;15:05:52;4
31.12.2020;15:07:52;10
31.12.2020;15:09:52;6
31.12.2020;15:11:52;6
31.12.2020;15:13:52;8
31.12.2020;15:15:52;9
31.12.2020;15:17:52;8
31.12.2020;15:19:52;7
31.12.2020;15:21:52;14
31.12.2020;15:23:52;14
31.12.2020;15:25:52;6
31.12.2020;15:25:52;4
31.12.2020;15:27:52;2
31.12.2020;15:27:52;5
31.12.2020;15:29:52;3
31.12.2020;15:29:52;1
31.12.2020;15:31:52;4
31.12.2020;15:31:52;1
31.12.2020;15:33:52;5
31.12.2020;15:33:52;3
31.12.2020;15:35:52;3
31.12.2020;15:35:52;2
31.12.2020;15:37:52;5
31.12.2020;15:37:52;3
31.12.2020;15:39:52;4
31.12.2020;15:39:52;7
31.12.2020;15:41:52;4
31.12.2020;15:41:52;4
31.12.2020;15:43:52;4
31.12.2020;15:43:52;5
31.12.2020;15:45:52;7
31.12.2020;15:45:52;1
31.12.2020;15:47:52;2
31.12.2020;15:47:52;4
31.12.2020;15:49:52;5
31.12.2020;15:49:52;3
31.12.2020;15:51:52;4
31.12.2020;15:51:52;2
31.12.2020;15:53:52;5
31.12.2020;15:53:52;5
31.12.2020;15:55:52;3
31.12.2020;15:55:52;3
31.12.2020;15:57:52;4
31.12.2020;15:57:52;3
31.12.2020;15:59:52;2
31.12.2020;15:59:52;5
31.12.2020;16:01:52;2
31.12.2020;16:01:52;4
31.12.2020;16:03:52;2
31.12.2020;16:03:52;3
31.12.2020;16:05:52;4
31.12.2020;16:05:52;2
31.12.2020;16:07:52;5
31.12.2020;16:07:52;3
31.12.2020;16:09:52;5
31.12.2020;16:09:52;1
31.12.2020;16:11:52;4
31.12.2020;16:11:52;4
31.12.2020;16:13:52;5
31.12.2020;16:13:52;4
31.12.2020;16:15:52;2
31.12.2020;16:15:52;3
31.12.2020;16:17:52;2
31.12.2020;16:17:52;2
31.12.2020;16:19:52;2
31.12.2020;16:19:52;1
31.12.2020;16:21:52;3
31.12.2020;16:21:52;3
31.12.2020;16:23:52;6
31.12.2020;16:23:52;2
31.12.2020;16:25:52;3
31.12.2020;16:25:52;5
31.12.2020;16:27:52;7
31.12.2020;16:27:52;3
31.12.2020;16:29:52;5
31.12.2020;16:29:52;6
31.12.2020;16:31:52;6
31.12.2020;16:31:52;5
31.12.2020;16:33:52;4
31.12.2020;16:33:52;4
31.12.2020;16:35:52;5
31.12.2020;16:35:52;3
31.12.2020;16:37:52;7
31.12.2020;16:37:52;8
31.12.2020;16:39:52;4
31.12.2020;16:39:52;2
31.12.2020;16:41:52;9
31.12.2020;16:41:52;3
31.12.2020;16:43:52;8
31.12.2020;16:43:52;4
31.12.2020;16:45:52;3
31.12.2020;16:45:52;6
31.12.2020;16:47:52;3
31.12.2020;16:47:52;2
31.12.2020;16:49:52;6
31.12.2020;16:49:52;2
31.12.2020;16:51:52;4
31.12.2020;16:51:52;3
31.12.2020;16:53:52;5
31.12.2020;16:53:52;2
31.12.2020;16:55:52;2
31.12.2020;16:55:52;5
31.12.2020;16:57:52;4
31.12.2020;16:57:52;4
31.12.2020;16:59:52;5
31.12.2020;16:59:52;2
31.12.2020;17:01:52;4
31.12.2020;17:01:52;2
31.12.2020;17:03:52;5
31.12.2020;17:03:52;4
31.12.2020;17:05:52;3
31.12.2020;17:05:52;1
31.12.2020;17:07:52;5
31.12.2020;17:07:52;2
31.12.2020;17:09:52;4
31.12.2020;17:09:53;1
31.12.2020;17:11:52;6
31.12.2020;17:11:53;1
31.12.2020;17:13:52;5
31.12.2020;17:13:53;3
31.12.2020;17:15:52;5
31.12.2020;17:15:53;2
31.12.2020;17:17:52;6
31.12.2020;17:17:53;2
31.12.2020;17:19:52;6
31.12.2020;17:19:53;2
31.12.2020;17:21:52;4
31.12.2020;17:21:53;2
31.12.2020;17:23:52;4
31.12.2020;17:23:53;3
31.12.2020;17:25:52;4
31.12.2020;17:25:53;3
31.12.2020;17:27:52;5
31.12.2020;17:27:53;2
31.12.2020;17:29:52;9
31.12.2020;17:29:53;1
31.12.2020;17:31:52;5
31.12.2020;17:31:53;3
31.12.2020;17:33:52;7
31.12.2020;17:33:53;3
31.12.2020;17:35:52;3
31.12.2020;17:35:53;3
31.12.2020;17:37:52;3
31.12.2020;17:37:53;3
31.12.2020;17:39:52;4
31.12.2020;17:39:53;0
31.12.2020;17:41:52;6
31.12.2020;17:41:53;4
31.12.2020;17:43:52;4
31.12.2020;17:43:53;4
31.12.2020;17:45:52;6
31.12.2020;17:45:53;4
31.12.2020;17:47:52;7
31.12.2020;17:47:53;2
31.12.2020;17:49:52;5
31.12.2020;17:49:53;5
31.12.2020;17:51:52;6
31.12.2020;17:51:53;2
31.12.2020;17:53:52;6
31.12.2020;17:53:53;4
31.12.2020;17:55:52;5
31.12.2020;17:55:53;2
31.12.2020;17:57:52;7
31.12.2020;17:57:53;2
31.12.2020;17:59:52;6
31.12.2020;17:59:53;3
31.12.2020;18:01:52;5
31.12.2020;18:01:53;5
31.12.2020;18:03:52;5
31.12.2020;18:03:53;3
31.12.2020;18:05:52;5
31.12.2020;18:05:53;3
31.12.2020;18:07:52;8
31.12.2020;18:07:53;7
31.12.2020;18:09:52;8
31.12.2020;18:09:53;1
31.12.2020;18:11:52;6
31.12.2020;18:11:53;3
31.12.2020;18:13:52;6
31.12.2020;18:13:53;5
31.12.2020;18:15:52;4
31.12.2020;18:15:53;2
31.12.2020;18:17:52;7
31.12.2020;18:17:53;4
31.12.2020;18:19:52;3
31.12.2020;18:19:53;2
31.12.2020;18:21:52;7
31.12.2020;18:21:53;1
31.12.2020;18:23:52;6
31.12.2020;18:23:53;1
31.12.2020;18:25:52;3
31.12.2020;18:25:53;3
31.12.2020;18:27:52;1
31.12.2020;18:27:53;0
31.12.2020;18:29:52;4
31.12.2020;18:29:53;2
31.12.2020;18:31:52;7
31.12.2020;18:31:53;2
31.12.2020;18:33:52;3
31.12.2020;18:33:53;2
31.12.2020;18:35:52;4
31.12.2020;18:35:53;3
31.12.2020;18:37:52;4
31.12.2020;18:37:53;6
31.12.2020;18:39:52;4
31.12.2020;18:39:53;5
31.12.2020;18:41:52;5
31.12.2020;18:41:53;2
31.12.2020;18:43:52;2
31.12.2020;18:43:53;1
31.12.2020;18:45:52;4
31.12.2020;18:45:53;6
31.12.2020;18:47:52;2
31.12.2020;18:47:53;3
31.12.2020;18:49:52;2
31.12.2020;18:49:53;3
31.12.2020;18:51:52;3
31.12.2020;18:51:53;3
31.12.2020;18:53:52;4
31.12.2020;18:53:53;4
31.12.2020;18:55:52;2
31.12.2020;18:55:53;1
31.12.2020;18:57:52;6
31.12.2020;18:57:53;4
31.12.2020;18:59:52;4
31.12.2020;18:59:53;2
31.12.2020;19:01:53;7
31.12.2020;19:01:53;2
31.12.2020;19:03:53;5
31.12.2020;19:03:53;3
31.12.2020;19:05:53;5
31.12.2020;19:05:53;5
31.12.2020;19:07:53;4
31.12.2020;19:07:53;4
31.12.2020;19:09:53;1
31.12.2020;19:09:53;2
31.12.2020;19:11:53;4
31.12.2020;19:11:53;3
31.12.2020;19:13:53;9
31.12.2020;19:13:53;2
31.12.2020;19:15:53;1
31.12.2020;19:15:53;2
31.12.2020;19:17:53;2
31.12.2020;19:17:53;0
31.12.2020;19:19:53;5
31.12.2020;19:19:53;1
31.12.2020;19:21:53;4
31.12.2020;19:21:53;6
31.12.2020;19:23:53;6
31.12.2020;19:23:53;0
31.12.2020;19:25:53;6
31.12.2020;19:25:53;4
31.12.2020;19:27:53;4
31.12.2020;19:27:53;0
31.12.2020;19:29:53;2
31.12.2020;19:29:53;1
31.12.2020;19:31:53;4
31.12.2020;19:31:53;3
31.12.2020;19:33:53;3
31.12.2020;19:33:53;2
31.12.2020;19:35:53;5
31.12.2020;19:35:53;1
31.12.2020;19:37:53;0
31.12.2020;19:37:53;1
31.12.2020;19:39:54;3
31.12.2020;19:39:55;1
31.12.2020;19:41:54;6
31.12.2020;19:41:55;3
31.12.2020;19:43:54;3
31.12.2020;19:43:55;2
31.12.2020;19:45:54;2
31.12.2020;19:45:55;4
31.12.2020;19:47:54;3
31.12.2020;19:47:55;5
31.12.2020;19:49:54;2
31.12.2020;19:49:55;1
31.12.2020;19:51:54;7
31.12.2020;19:51:55;1
31.12.2020;19:53:54;3
31.12.2020;19:53:55;6
31.12.2020;19:55:54;6
31.12.2020;19:55:55;2
31.12.2020;19:57:54;3
31.12.2020;19:57:55;0
31.12.2020;19:59:54;4
31.12.2020;19:59:55;3
31.12.2020;20:01:54;4
31.12.2020;20:01:55;1
31.12.2020;20:03:54;4
31.12.2020;20:03:55;1
31.12.2020;20:05:54;7
31.12.2020;20:05:55;3
31.12.2020;20:07:54;5
31.12.2020;20:07:55;4
31.12.2020;20:09:54;2
31.12.2020;20:09:55;0
31.12.2020;20:11:54;2
31.12.2020;20:11:55;1
31.12.2020;20:13:54;5
31.12.2020;20:13:55;3
31.12.2020;20:15:54;5
31.12.2020;20:15:55;2
31.12.2020;20:17:54;5
31.12.2020;20:17:55;2
31.12.2020;20:19:54;5
31.12.2020;20:19:55;1
31.12.2020;20:21:54;4
31.12.2020;20:21:55;4
31.12.2020;20:23:54;2
31.12.2020;20:23:55;4
31.12.2020;20:25:54;3
31.12.2020;20:25:55;2
31.12.2020;20:27:54;3
31.12.2020;20:27:55;0
31.12.2020;20:29:54;4
31.12.2020;20:29:55;3
31.12.2020;20:31:54;6
31.12.2020;20:31:55;2
31.12.2020;20:33:54;3
31.12.2020;20:33:55;2
31.12.2020;20:35:54;2
31.12.2020;20:35:55;1
31.12.2020;20:37:54;4
31.12.2020;20:37:55;2
31.12.2020;20:39:54;4
31.12.2020;20:39:55;2
31.12.2020;20:41:54;3
31.12.2020;20:41:55;1
31.12.2020;20:43:54;4
31.12.2020;20:43:55;1
31.12.2020;20:45:54;2
31.12.2020;20:45:55;1
31.12.2020;20:47:54;4
31.12.2020;20:47:55;1
31.12.2020;20:49:54;4
31.12.2020;20:49:55;0
31.12.2020;20:51:55;4
31.12.2020;20:51:55;2
31.12.2020;20:53:55;4
31.12.2020;20:53:55;0
31.12.2020;20:55:55;5
31.12.2020;20:55:55;2
31.12.2020;20:57:55;2
31.12.2020;20:57:55;2
31.12.2020;20:59:55;5
31.12.2020;20:59:55;0
31.12.2020;21:01:55;1
31.12.2020;21:01:56;2
31.12.2020;21:03:55;2
31.12.2020;21:03:56;3
31.12.2020;21:05:55;2
31.12.2020;21:05:56;5
31.12.2020;21:07:55;3
31.12.2020;21:07:56;1
