Date;Sales;Timestamp
31.12.2020;279;8:31:42
31.12.2020;272;8:33:42
31.12.2020;284;8:35:42
31.12.2020;312;8:37:42
31.12.2020;317;8:39:42
31.12.2020;266;8:41:42
31.12.2020;307;8:43:42
31.12.2020;330;8:45:42
31.12.2020;323;8:47:42
31.12.2020;326;8:49:43
31.12.2020;335;8:51:43
31.12.2020;316;8:53:43
31.12.2020;330;8:55:43
31.12.2020;349;8:57:43
31.12.2020;335;8:59:43
31.12.2020;382;9:01:43
31.12.2020;406;9:03:43
31.12.2020;361;9:05:43
31.12.2020;424;9:07:43
31.12.2020;395;9:09:43
31.12.2020;413;9:11:43
31.12.2020;430;9:13:43
31.12.2020;452;9:15:43
31.12.2020;448;9:17:43
31.12.2020;432;9:19:43
31.12.2020;462;9:21:43
31.12.2020;445;9:23:43
31.12.2020;466;9:25:43
31.12.2020;474;9:27:43
31.12.2020;512;9:29:43
31.12.2020;550;9:31:43
31.12.2020;491;9:33:43
31.12.2020;537;9:35:43
31.12.2020;539;9:37:43
31.12.2020;530;9:39:43
31.12.2020;550;9:41:43
31.12.2020;521;9:43:43
31.12.2020;561;9:45:43
31.12.2020;582;9:47:43
31.12.2020;564;9:49:43
31.12.2020;606;9:51:43
31.12.2020;629;9:53:43
31.12.2020;606;9:55:43
31.12.2020;602;9:57:43
31.12.2020;678;9:59:43
31.12.2020;719;10:01:44
31.12.2020;700;10:03:44
31.12.2020;716;10:05:44
31.12.2020;725;10:07:44
31.12.2020;782;10:09:44
31.12.2020;815;10:11:44
31.12.2020;787;10:13:44
31.12.2020;788;10:15:44
31.12.2020;796;10:17:44
31.12.2020;856;10:19:44
31.12.2020;840;10:21:44
31.12.2020;855;10:23:44
31.12.2020;485;10:25:44
31.12.2020;344;10:25:44
31.12.2020;544;10:27:44
31.12.2020;329;10:27:44
31.12.2020;523;10:29:44
31.12.2020;360;10:29:44
31.12.2020;919;10:31:44
31.12.2020;960;10:33:44
31.12.2020;883;10:35:44
31.12.2020;951;10:37:44
31.12.2020;550;10:39:44
31.12.2020;393;10:39:44
31.12.2020;589;10:41:44
31.12.2020;412;10:41:44
31.12.2020;1019;10:43:44
31.12.2020;998;10:45:44
31.12.2020;1006;10:47:44
31.12.2020;1010;10:49:44
31.12.2020;1030;10:51:44
31.12.2020;1069;10:53:44
31.12.2020;1027;10:55:44
31.12.2020;1123;10:57:44
31.12.2020;1073;10:59:44
31.12.2020;1085;11:01:44
